                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0893,                  1.531,                 1.0481,                0.52458,                0.38966,                0.43712,                0.23865,                 1.2933,                 1.6748,                 1.2259,              0.0002696,              0.0002696,              0.0002696
                     36,                 1.0948,                 1.5033,                 1.0501,                 0.5309,                0.39597,                0.44608,                0.24184,                 1.2913,                 1.6556,                 1.2241,             0.00024747,             0.00024747,             0.00024747
                     37,                 1.0575,                  1.474,                 1.0202,                0.52927,                0.40381,                0.44487,                0.24328,                   1.29,                 1.6592,                 1.2233,             0.00022533,             0.00022533,             0.00022533
                     38,                 1.0505,                 1.4439,                 1.0142,                0.52633,                0.39792,                0.44318,                0.23935,                 1.3034,                 1.6691,                 1.2326,              0.0002032,              0.0002032,              0.0002032
                     39,                 1.0708,                 1.4531,                 1.0377,                0.53155,                0.40604,                0.44568,                  0.243,                 1.2934,                 1.6492,                 1.2269,             0.00018107,             0.00018107,             0.00018107
                     40,                 1.0886,                 1.4361,                 1.0482,                0.52637,                0.41517,                0.44719,                0.24191,                 1.2967,                  1.633,                 1.2274,             0.00015893,             0.00015893,             0.00015893
                     41,                  1.055,                 1.4035,                 1.0171,                 0.5319,                0.41157,                0.44949,                0.24353,                 1.3017,                 1.6364,                 1.2296,              0.0001368,              0.0001368,              0.0001368
                     42,                 1.0923,                 1.4145,                 1.0503,                0.51398,                0.40585,                0.44501,                0.24468,                 1.2945,                 1.6338,                  1.229,             0.00011467,             0.00011467,             0.00011467
                     43,                 1.0483,                 1.3792,                 1.0192,                0.51432,                0.40526,                0.44666,                0.24454,                 1.3116,                 1.6294,                 1.2321,             9.2533e-05,             9.2533e-05,             9.2533e-05
                     44,                 1.0461,                 1.3517,                 1.0183,                0.52731,                0.40105,                 0.4502,                0.24648,                 1.2955,                 1.6284,                 1.2248,               7.04e-05,               7.04e-05,               7.04e-05
                     45,                 1.0366,                  1.368,                 1.0094,                0.52848,                0.40261,                0.45162,                0.24625,                 1.2962,                 1.6187,                  1.228,             4.8267e-05,             4.8267e-05,             4.8267e-05
