model,time_s,total_energy_kwh,emissions_kg_co2,energy_per_image_kwh,emissions_per_image_kg_co2
VanillaCNN,0.0978533267974853,0.00015981151111396245,4.266967346742798e-05,1.3317625926163539e-05,3.555806122285665e-06
YOLO,0.2756604194641113,0.00016784500331177318,4.481461588424344e-05,1.398708360931443e-05,3.734551323686953e-06
SpikeYOLO,0.530772590637207,0.0001757545670125165,4.692646939234191e-05,1.464621391770971e-05,3.910539116028493e-06
SpikeYOLO_poisson,0.5229833602905274,0.00020406629196400875,5.448569995439034e-05,1.700552433033406e-05,4.5404749961991945e-06
SpikeYOLO_poisson_adjust,0.13074584007263185,5.101657299100219e-05,1.3621424988597586e-05,4.251381082583515e-06,1.1351187490497986e-06
SpikeYOLO_latency,0.5268760681152344,0.00020423065245306162,5.4529584204967455e-05,1.7019221037755134e-05,4.544132017080621e-06
SpikeYOLO_latency_adjust,0.1317190170288086,5.105766311326541e-05,1.3632396051241864e-05,4.254805259438784e-06,1.1360330042701553e-06
