epoch,train/box_loss,train/cls_loss,metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,lr
1,0.25108940988013356,5.871229911542708,0.030999009497463703,0.005942883051608306,0.24268459101702386,6.3481798236995175,0.0009999238475781956
2,0.21592104935994552,4.954932661179574,0.03050754778087139,0.005873921616016986,0.22234744264197528,4.873499140731143,0.0009996954135095479
3,0.20333384264559454,4.695071795271289,0.07824938744306564,0.016738533243165675,0.20091011548056126,4.664516683244373,0.0009993147673772868
4,0.19109015434098264,4.405374853649447,0.08971819467842579,0.01994995100724246,0.19249111767037147,4.281910011428138,0.000998782025129912
5,0.18370511789833224,4.198467822651709,0.09438049420714378,0.021469617241368154,0.1974492183931846,4.252615900230518,0.0009980973490458726
6,0.1796093322432848,4.059341821482104,0.14391426742076874,0.03410980831158668,0.1922964166651054,4.174843351173013,0.0009972609476841365
7,0.17472773292578472,3.938669580409604,0.10622336715459824,0.024559965732126442,0.18790764190157197,4.281382984496878,0.000996273075820661
8,0.17164882441685955,3.8314236899460514,0.10446389392018318,0.023368186889806,0.1862592394404295,4.150142351446323,0.000995134034370785
9,0.16915894957451572,3.7613383082420597,0.1409081220626831,0.03320526773539427,0.18462962185123422,4.134395440880494,0.0009938441702975688
10,0.16541793095045948,3.6666715710470754,0.14827820658683777,0.035038972910069785,0.18159796482734294,4.073818557085405,0.000992403876506104
11,0.16340238248255298,3.5971052517794795,0.10357136651873589,0.025062375680874282,0.19331883282774492,4.490232853594899,0.000990813591723832
12,0.16039947098691296,3.52355477196555,0.14624231308698654,0.034276278150287,0.18473987473745393,4.154948105184219,0.0009890738003669028
13,0.15855184453817256,3.437459769779636,0.15916695445775986,0.03805451718835116,0.19002090434796606,4.585216268343881,0.0009871850323926177
14,0.15677659531878382,3.387454840927355,0.14476793259382248,0.03343608896992691,0.1822663250113481,4.3685638837153284,0.0009851478631379982
15,0.15611942973597756,3.3237819977114276,0.14308107271790504,0.03314137442612264,0.18302293749214982,4.34327171806877,0.0009829629131445341
16,0.15394739631729598,3.248509199079006,0.15097537636756897,0.03534794573466797,0.18524344558903208,4.428226832896817,0.0009806308479691594
17,0.15396889861825394,3.2220691734225517,0.15916543453931808,0.038518636636854356,0.1831194255511836,4.3885395895093335,0.0009781523779815178
18,0.15239837983758714,3.1613080641223537,0.14010056480765343,0.031974371423518735,0.18656989086090897,4.185419678376888,0.0009755282581475768
19,0.15100456224078868,3.105935576300467,0.13332955539226532,0.030262852532928264,0.19083647301805198,4.680007289844434,0.0009727592877996585
20,0.1496403971527583,3.03564324549898,0.14594841748476028,0.03242995586449524,0.1886763823817737,4.514038888525797,0.0009698463103929542
21,0.147880661370259,3.002961665695713,0.17089075967669487,0.04130757176935731,0.1837824431989178,4.504396470682804,0.0009667902132486009
22,0.14715091789440599,2.9246745444516984,0.16218823194503784,0.03732699595630038,0.18650225020422148,4.3738310266882525,0.0009635919272833937
23,0.14542277526896777,2.876564659407062,0.17309554666280746,0.0428413518552361,0.19171972093744993,4.566931941220212,0.0009602524267262203
24,0.14521299226957585,2.8343498671227887,0.14249281957745552,0.032575244128315715,0.19023591498876738,4.778386134628353,0.0009567727288213005
25,0.14477371559215374,2.7807877592059875,0.1700342521071434,0.042209379957421335,0.18029341776044974,4.351070190025731,0.0009531538935183252
26,0.1439056197226408,2.7314555922054473,0.1539178229868412,0.037365978529125245,0.18236688912625743,4.350404341266493,0.0009493970231495836
27,0.1427359982468751,2.6858443198088677,0.18468545749783516,0.043060291034635156,0.18510222828000558,4.488518588867238,0.000945503262094184
28,0.14280229489231716,2.6498122204869023,0.13284668698906898,0.030864920558639142,0.18677321749171047,4.769784251457024,0.0009414737964294637
29,0.1408309156368449,2.5932794908035186,0.14795634895563126,0.03283929766689653,0.19226600556351298,4.921776387192257,0.0009373098535696981
30,0.14007039125935145,2.5326201559853168,0.13130950182676315,0.029389458879109043,0.197408618348199,4.492177017292401,0.0009330127018922197
31,0.14000594861770985,2.5110407155829093,0.1745801493525505,0.04235839161228796,0.19358697397906652,4.809653169248607,0.0009285836503510564
32,0.13961903836107023,2.4524281317216734,0.11057354509830475,0.02533251547350801,0.19706337259158063,4.579601548421964,0.0009240240480782131
33,0.13869740944276487,2.4195734457758165,0.1468237116932869,0.036944379363444566,0.1874796784317592,4.678867750371139,0.0009193352839727123
